ref_area,time,n_strikes_lockouts,workers_involved,days_not_worked
Algeria,1989,2290,,
Algeria,1990,2023,301.694,
Algeria,1991,1034,71.581,
Algeria,1992,493,113.138,
Algeria,1993,537,120.348,1800000
Algeria,1994,410,130.266,969474
Algeria,1995,432,132.773,891653
Algeria,1996,441,127.37,922737
Algeria,1997,292,77.554,648694
Algeria,1998,195,53.421,202558
Algeria,1999,173,33.989,242665
Algeria,2000,187,65.152,436555
Algeria,2001,176,50.229,237776
Algeria,2002,175,81.851,533764
Algeria,2003,23,83.919,181045
Algeria,2004,35,56.861,628838
Anguilla,1989,1,0.029,
Anguilla,1990,1,0.128,
Anguilla,1991,0,0,
Anguilla,1992,0,0,
Anguilla,1993,0,0,
Anguilla,1994,0,0,
Anguilla,1995,0,0,
Anguilla,1996,0,0,
Anguilla,1997,0,0,0
Antigua and Barbuda,1978,6,,
Antigua and Barbuda,1979,12,,
Antigua and Barbuda,1980,2,,
Antigua and Barbuda,1981,7,,
Antigua and Barbuda,1982,1,,
Antigua and Barbuda,1983,6,,
Antigua and Barbuda,1984,0,,
Antigua and Barbuda,1985,0,,
Antigua and Barbuda,1986,2,,
Antigua and Barbuda,1987,1,,
Antigua and Barbuda,1988,0,,
Antigua and Barbuda,1989,2,,
Antigua and Barbuda,1990,4,,
Antigua and Barbuda,1991,0,,
Antigua and Barbuda,1992,3,0.666,1245
Antigua and Barbuda,1993,2,0.075,150
Antigua and Barbuda,1994,0,0,0
Antigua and Barbuda,1995,1,,
Antigua and Barbuda,1996,2,0.332,45.5
Antigua and Barbuda,2024,0,,
Argentina,1974,543,271.697,651555
Argentina,1975,1266,,
Argentina,1987,638,5464.166,10561805
Argentina,1988,463,3256.771,7876899
Argentina,1989,193,1737.228,2331227
Argentina,1999,,2497.746,6248966
Argentina,2000,,6760.85,12392241
Argentina,2006,,1151.871,6332776
Argentina,2007,,1149.577,8396498
Argentina,2008,,1793.595,8300793
Argentina,2009,888,1433.248,8932016
Argentina,2010,958,1401.662,6674058
Argentina,2011,962,1058.281,4131835
Argentina,2012,1217,1490.971,8189703
Argentina,2013,1211,1393.06,7643731
Argentina,2014,1337,1458.238,11036819
Argentina,2015,1235,1147.777,4955667
Argentina,2016,1321,1705.169,10385401
Argentina,2017,1010,1266.601,10648393
Argentina,2018,833,1303.992,12273466
Argentina,2019,873,1068.856,6164329
Argentina,2020,842,1096.245,6877641
Argentina,2021,740,976.991,3710332
Argentina,2022,724,830.852,4563793
Argentina,2023,646,1072.966,4597152
Argentina,2024,614,1709.449,6183108
Armenia,2009,0,,
Armenia,2010,0,,
Aruba,1992,4,,14311
Aruba,1993,2,,988
Aruba,1994,4,,914
Aruba,1995,17,,4821
Aruba,1996,9,,2382
Aruba,2004,3,0.324,
Aruba,2005,1,0.04,40
Aruba,2006,1,0.04,10
Aruba,2007,3,0.222,52
Aruba,2013,,,1
Australia,1971,2404,1326.5,3068600
Australia,1972,2298,1113.8,2010300
Australia,1973,2538,803,2634700
Australia,1974,2809,2004.8,6292500
Australia,1975,2432,1398,3509900
Australia,1976,2055,2190.1,3799400
Australia,1977,2090,596.2,1654800
Australia,1978,2277,1075.6,2130800
Australia,1979,2042,1862.9,3964400
Australia,1980,2429,1172.6,3319700
Australia,1981,2915,1247.2,4189300
Australia,1982,2060,706.1,1980400
Australia,1983,1787,470.2,1641400
Australia,1984,1965,560.3,1307400
Australia,1985,1895,570.5,1256200
Australia,1986,1754,691.7,1390700
Australia,1987,1517,608.8,1311900
Australia,1988,1508,894.4,1641400
Australia,1989,1402,709.8,1202400
Australia,1990,1193,729.9,1376500
Australia,1991,1036,1181.6,1610600
Australia,1992,728,871.5,941200
Australia,1993,610,489.6,635800
Australia,1994,560,265.1,501600
Australia,1995,643,344.3,547600
Australia,1996,543,577.7,928500
Australia,1997,447,315.4,534200
Australia,1998,520,348.4,526300
Australia,1999,731,461.1,650600
Australia,2000,700,325.4,469100
Australia,2001,675,225.7,393100
Australia,2002,767,159.7,259000
Australia,2003,643,275.6,439400
Australia,2004,692,194,379800
Australia,2005,472,241,228300
Australia,2006,202,122.7,132600
Australia,2007,135,36,49700
Australia,2008,177,172.9,196500
Australia,2013,215,132.2,131000
Australia,2015,228,73.3,83400
Australia,2016,259,105.9,124500
Australia,2018,163,57.6,105800
Australia,2019,147,53.2,64400
Australia,2020,77,11.4,33500
Australia,2021,130,71.1,116600
Australia,2022,188,122.4,196800
Australia,2023,198,46,99300
Australia,2024,194,89.1,139100
Austria,1971,,2.431,3702
Austria,1972,,7.096,15104
Austria,1973,,78.251,160138
Austria,1974,,7.295,7243
Austria,1975,,3.783,5512
Austria,1976,,2.352,589
Austria,1977,,0.043,11
Austria,1978,,0.699,10222
Austria,1979,8,0.786,764
Austria,1980,9,24.181,16960
Austria,1981,6,17.115,4024
Austria,1982,2,0.091,344
Austria,1983,4,0.208,514
Austria,1984,2,0.268,543
Austria,1985,4,35.531,22752
Austria,1986,11,3.222,3253
Austria,1987,6,7.302,4822
Austria,1988,5,24.252,8542
Austria,1989,7,3.715,2986
Austria,1990,9,5.274,8870
Austria,1991,9,92.707,58341
Austria,1992,3,18.039,23437
Austria,1993,3,6.869,13008
Austria,1994,0,0,0
Austria,1995,1,0.06,120
Austria,1996,0,0,0
Austria,1997,1,25.8,19125
Austria,1998,0,0,0
Austria,1999,0,0,0
Austria,2000,4,19.439,2947
Austria,2001,0,0,0
Austria,2002,4,6.305,9306
Austria,2003,,779.182,1305466
Austria,2004,,0.03,178
Austria,2005,0,0,0
Austria,2006,0,0,0
Austria,2007,0,0,0
Austria,2008,0,0,0
Austria,2009,0,0,0
Austria,2010,0,0,0
Austria,2011,,87.034,56670
Austria,2012,,1.5,563
Austria,2013,,5.529,3277
Austria,2014,,5.196,3309
Austria,2015,0,0,0
Austria,2016,0,0,0
Austria,2017,0,0,0
Austria,2018,,37.923,8934
Austria,2019,,5.262,1973
Austria,2020,,9.883,3687
Austria,2021,,5.032,1421
Austria,2022,,15.336,14711
Austria,2023,,110.401,98605
Austria,2024,,14.114,9042
Bahamas,1986,0,0,0
Bahamas,1987,1,0.175,525
Bahamas,1988,1,0.35,700
Bahamas,1989,0,0,0
Bahamas,1990,0,0,0
Bahamas,1991,0,0,0
Bahamas,1992,0,0,0
Bahrain,2009,5,0.976,
Bahrain,2010,11,2.496,
Bangladesh,1969,55,113.194,561874
Bangladesh,1970,52,77.68,366901
Bangladesh,1971,9,35.324,70333
Bangladesh,1972,39,43.615,126000
Bangladesh,1973,58,35.027,285177
Bangladesh,1974,32,57.387,231736
Bangladesh,1975,2,28.327,162000
Bangladesh,1976,5,14.517,25618
Bangladesh,1977,22,76.675,81715
Bangladesh,1978,89,113.209,662332
Bangladesh,1979,96,114.248,647629
Bangladesh,1980,104,164.032,1160436
Bangladesh,1981,80,117.031,1198460
Bangladesh,1982,55,21.788,238658
Bangladesh,1983,16,175.787,392616
Bangladesh,1984,132,400.336,1022918
Bangladesh,1985,95,198.118,284920
Bangladesh,1986,46,105.977,2079671
Bangladesh,1987,18,88.795,175278
Bangladesh,1988,9,28.874,49398
Bangladesh,1989,12,59.701,83771
Bangladesh,1990,5,14.554,28479
Bangladesh,1991,3,0.454,29811
Bangladesh,1992,11,6.19,20339
Bangladesh,1993,11,6.101,16029
Bangladesh,1994,2,5.641,2821
Bangladesh,1995,5,24.656,75023
Bangladesh,1996,1,0.353,22
Bangladesh,1997,0,0,0
Bangladesh,1998,1,6.49,155760
Bangladesh,1999,4,2.296,1978
Bangladesh,2000,4,1.698,2284
Barbados,1969,3,0.489,2753
Barbados,1970,0,0,0
Barbados,1971,3,0.415,
Barbados,1972,7,1.353,1450
Barbados,1973,71,2.549,4147
Barbados,1974,2,0.55,2400
Barbados,1975,3,0.823,3431
Barbados,1976,2,0.282,129
Barbados,1977,0,0,0
Barbados,1978,0,0,0
Barbados,1979,1,0.045,270
Barbados,1980,7,2.166,14342
Barbados,1981,8,2.219,6982
Barbados,1982,17,6.084,8045
Barbados,1983,5,1.031,8949
Barbados,1984,3,0.582,939
Barbados,1985,5,0.886,5259
Barbados,1986,2,0.085,106
Barbados,1987,7,0.988,2320
Barbados,1988,10,0.862,697
Barbados,1989,12,2.654,3931
Barbados,1990,17,1.083,1754
Barbados,1991,10,0.604,643
Barbados,1992,12,4.591,36473
Barbados,1993,5,0.091,38
Barbados,1994,2,0.05,19
Barbados,1995,8,0.376,334
Barbados,1996,7,0.181,765
Barbados,1997,13,0.745,428
Barbados,1998,40,3.63,7452
Barbados,2001,24,3.831,5410.5
Barbados,2002,5,0.577,1911
Barbados,2009,24,0.648,648
Barbados,2010,0,0,0
Barbados,2013,9,,
Barbados,2014,10,,
Barbados,2015,8,530,530
Belarus,1989,26,3.7,11900
Belarus,1990,19,10.7,28900
Belarus,1991,47,63.2,279700
Belarus,1992,3,2.1,88900
Belarus,1993,2,0.2,500
Belarus,1994,3,3.1,5500
Belarus,1995,0,0,0
Belarus,1996,0,0,0
Belarus,1997,0,0,0
Belarus,1998,0,0,0
Belarus,1999,0,0,0
Belarus,2000,0,0,0
Belarus,2001,0,0,0
Belarus,2002,0,0,0
Belarus,2003,0,0,0
Belarus,2004,0,0,0
Belarus,2014,,0,
Belarus,2015,,,0
Belgium,1969,,36.547,162898
Belgium,1970,,111.002,1432274
Belgium,1971,184,100.066,1240472
Belgium,1972,191,70.57,354086
Belgium,1973,172,70.134,871872
Belgium,1974,235,60.764,580032
Belgium,1975,243,90.159,607809
Belgium,1976,281,117.8,896805
Belgium,1977,220,74.217,664236
Belgium,1978,195,101.703,1002489
Belgium,1979,215,61.844,615484
Belgium,1980,132,30.432,216754
Belgium,1981,,,0
Belgium,1982,,,0
Belgium,1983,,,0
Belgium,1984,,,0
Belgium,1985,65,37.5,129800
Belgium,1986,,,0
Belgium,1987,,,0
Belgium,1988,64,23.2,194000
Belgium,1989,81,19.5,132800
Belgium,1990,33,9.8,103000
Belgium,1991,62,11.2,66500
Belgium,1992,49,21.9,198700
Belgium,1993,28,8.5,54700
Belgium,1994,30,5.9,71300
Belgium,1995,46,12.8,100200
Belgium,1996,60,19.971,146256
Belgium,1997,17,9,40100
Belgium,1998,484,18.9,87100
Belgium,1999,64,12.145,76310
Belgium,2000,75,11.483,264919
Belgium,2001,,,460177
Belgium,2002,,,60954
Belgium,2003,,,239344
Belgium,2004,,,166287
Belgium,2005,,,669982
Belgium,2006,,,88941
Belgium,2007,,,127442
Belgium,2008,,,263613
Belgium,2014,,,760297
Belgium,2015,,,207563
Belgium,2016,,,409751.72
Belgium,2017,,,247717.52
Belgium,2018,,,422249.12
Belgium,2019,,224,802.97
Belgium,2020,,33,105.6
Belgium,2021,,35,93.2
Belgium,2022,,46,214.5
Belgium,2023,,176,1270
Belgium,2024,,2641,8250.2
Belize,2011,0,0,0
Belize,2012,0,0,0
Benin,2018,31,,255
Bermuda,1969,1,0.087,1392
Bermuda,1970,5,0.518,6098
Bermuda,1971,6,0.672,6107
Bermuda,1972,13,1.485,36006
Bermuda,1973,1,0.494,3613
Bermuda,1974,5,0.556,8444
Bermuda,1975,2,0.807,9545
Bermuda,1976,1,0.02,1260
Bermuda,1977,6,3.006,13392
Bermuda,1978,3,0.13,4200
Bermuda,1979,3,0.04,3280
Bermuda,1980,4,0.85,1640
Bermuda,1981,10,6.5,25600
Bermuda,1982,1,0.394,788
Bermuda,1983,26,1.187,1387
Bermuda,1984,10,0.924,14300
Bermuda,1985,4,0.358,479
Bermuda,1986,1,0.7,4200
Bermuda,1987,2,0.35,750
Bermuda,1988,0,0,0
Bermuda,1989,4,1.542,3582
Bermuda,1990,4,0.58,1570
Bermuda,1991,1,0.015,975
Bermuda,1992,1,0.2,840
Bermuda,1993,2,0.1,1020
Bermuda,1994,2,0.2,400
Bermuda,1995,1,0.15,150
Bermuda,1996,0,0,0
Bermuda,1997,3,0.52,790
Bhutan,2022,0,0,0
"Bolivia, Plurinational State of",1981,31,,
"Bolivia, Plurinational State of",1982,301,,
"Bolivia, Plurinational State of",1983,261,,
"Bolivia, Plurinational State of",1984,500,,
"Bolivia, Plurinational State of",1985,319,,
"Bolivia, Plurinational State of",1986,188,,
"Bolivia, Plurinational State of",1987,207,,
"Bolivia, Plurinational State of",1988,164,,
"Bolivia, Plurinational State of",1989,177,,
"Bolivia, Plurinational State of",1990,30,,
"Bolivia, Plurinational State of",1991,16,619,
"Bolivia, Plurinational State of",1992,22,340,
"Bolivia, Plurinational State of",1993,93,203,
"Bolivia, Plurinational State of",1994,40,667,
"Bolivia, Plurinational State of",1995,38,303,
"Bolivia, Plurinational State of",1996,117,,
"Bolivia, Plurinational State of",1997,222,,
"Bolivia, Plurinational State of",1998,145,,
"Bolivia, Plurinational State of",1999,174,,
Botswana,1994,7,1.135,
Botswana,1995,6,2.326,3440
Botswana,1996,6,0.334,699
Botswana,1997,19,3.506,1410
Botswana,1998,30,3.58,4285
Botswana,1999,10,2.221,33500
Botswana,2000,14,1.443,27794
Botswana,2002,4,0.242,
Botswana,2003,3,0.13,
Botswana,2004,5,3.386,
Botswana,2005,1,0.052,
Botswana,2006,2,0.232,
Botswana,2007,5,3.386,
Botswana,2008,1,0.052,1
Brazil,1980,81,,
Brazil,1981,79,,
Brazil,1982,126,,
Brazil,1983,312,,
Brazil,1984,534,,
Brazil,1985,843,5431,49575000
Brazil,1986,1494,7146,32173000
Brazil,1987,2369,8304,58956000
Brazil,1988,1954,7136,53495000
Brazil,1989,4189,14093,117792000
Brazil,1990,1846,14243,17000
Brazil,1991,659,16805,7000
Brazil,1992,347,3496.7,2260479
Brazil,1993,653,,69330771
Brazil,1994,1034,3806.493,16782201
Brazil,1995,1056,,22159769
Brazil,1996,1258,,21983377
Brazil,1997,630,,6893991
Brazil,1998,546,,16795023
Brazil,1999,508,,5934657
Brazil,2000,525,3834.116,238921522
Brazil,2001,416,797.139,71886654
Brazil,2002,298,1213.862,116620512
Brazil,2003,340,1943.223,340954860
Brazil,2004,302,1291.332,150484289
Brazil,2005,299,2023.18,230604495
Brazil,2006,320,1360.013,183776042
Brazil,2007,316,1437.769,237156516
Brazil,2008,411,2043.124,143432937
Brazil,2009,518,1568.034,4339
Brazil,2010,446,1582.746,5613
Brazil,2011,554,2050.021,7922
Brazil,2012,873,1771.953,10862
Brazil,2015,1980,1284678,17367.62
Brazil,2016,2127,760967,17718.25
Brazil,2017,1574,364566,12001.75
Brazil,2018,1461,167649,8709.88
Brazil,2019,1118,166199,5697.25
Brazil,2020,,133480,18.9
Burkina Faso,1969,2,1.496,11472
Burkina Faso,1970,3,0.287,674
Burkina Faso,1971,2,0.252,328
Burkina Faso,1972,2,0.042,1890
Burkina Faso,1973,7,,
Burkina Faso,1974,10,,
Burkina Faso,1976,4,6.679,18967
Burkina Faso,1977,0,0,0
Burkina Faso,1978,3,0.245,1665
