"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2013",1,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2013",1,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2013",1,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","2013",1,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2007",52,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2007",52,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2007",52,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2007",42,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): K. Real estate, renting and business activities","2007",4,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","2007",6,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2006",10,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2006",10,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2006",10,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","2006",10,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2005",40,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","2005",40,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2005",40,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","2005",40,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2005",40,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","2005",40,,,"Lower limit on coverage of strikes and lockouts: No lower limit | Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1996",2382,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","1996",11,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1996",2382,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","1996",11,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1996",2382,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","1996",278,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1996",7,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): J. Financial intermediation","1996",634,,,"Remarks: Computed on the basis of an eight-hour working day",
"Aruba","ADM - Other Administrative records and related sources","Days not worked due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","1996",1452,,,"Remarks: Computed on the basis of an eight-hour working day",
