"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2024",449,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2024",449,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Aggregate): Manufacturing","2024",222,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Aggregate): Construction","2024",4,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2024",449,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): B. Fishing","2024",600,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): C. Mining and quarrying","2024",358,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): D. Manufacturing","2024",222,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","2024",147,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): F. Construction","2024",4,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): I. Transport, storage and communications","2024",401,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): J. Financial intermediation","2024",12,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): K. Real estate, renting and business activities","2024",23,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): L. Public administration and defence; compulsory social security","2024",851,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): M. Education","2024",2.384,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","2024",501,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): O. Other community, social and personal service activities","2024",15,,,"Employment definition: Excluding own-use production workers | Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 5 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees","Reference group coverage: Employees | System of national accounts: 2008 SNA"
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2023",325,,,"Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 2 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees",
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Broad sector): Agriculture","2023",248,,,"Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 2 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees",
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2023",325,,,"Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 2 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees",
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Aggregate): Agriculture","2023",248,,,"Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 2 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees",
"Argentina","Other - Special data collection","Days not worked per 1000 workers due to strikes and lockouts by economic activity","Economic activity (Aggregate): Manufacturing","2023",967,,,"Labour dispute actions coverage: Only strikes | Lower limit on coverage of strikes and lockouts: Excluding strikes with less than 2 workers | Type of severity rate for strikes and lockouts: Per 1'000 employees",
