"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2007",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2007",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2007",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2007",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): K. Real estate, renting and business activities","2007",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","2007",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2006",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2006",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2006",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","2006",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2005",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","2005",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2005",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","2005",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2005",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","2005",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): Total","2004",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","2004",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Total","2004",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","2004",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","2004",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","2004",2,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","2004",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1996",9,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","1996",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1996",9,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","1996",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1996",9,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","1996",2,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1996",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): J. Financial intermediation","1996",2,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): N. Health and social work","1996",3,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","1996",1,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): Total","1995",17,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Broad sector): X - Not elsewhere classified","1995",7,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Total","1995",17,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): Manufacturing","1995",2,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (Aggregate): X - Not elsewhere classified","1995",7,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): Total","1995",17,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): D. Manufacturing","1995",2,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): J. Financial intermediation","1995",8,,,,
"Aruba","ADM - Other Administrative records and related sources","Number of strikes and lockouts by economic activity","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","1995",7,,,,
