"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","2007",0.222,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","2007",0.222,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","2007",0.222,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2007",0.015,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): K. Real estate, renting and business activities","2007",0.007,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): N. Health and social work","2007",0.2,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","2006",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","2006",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","2006",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): E. Electricity, gas and water supply","2006",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","2005",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): X - Not elsewhere classified","2005",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): Total","2005",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Aggregate): X - Not elsewhere classified","2005",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): Total","2005",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (ISIC-Rev.3.1): X - Not elsewhere classified","2005",0.04,,,"Workers involved: Excludes workers indirectly involved",
"Aruba","ADM - Other Administrative records and related sources","Number of workers involved in strikes and lockouts by economic activity (thousands)","Economic activity (Broad sector): Total","2004",0.324,,,"Workers involved: Excludes workers indirectly involved",
